datetime,season,holiday,workingday,weather,temp,humidity,windspeed,count,day,month,day_number,year,hour
2011-01-01 00:00:00,1,0,0,1,9.84,81,0.0,16,Saturday,1,1,2011,0
2011-01-01 01:00:00,1,0,0,1,9.02,80,0.0,40,Saturday,1,1,2011,1
2011-01-01 02:00:00,1,0,0,1,9.02,80,0.0,32,Saturday,1,1,2011,2
2011-01-01 03:00:00,1,0,0,1,9.84,75,0.0,13,Saturday,1,1,2011,3
2011-01-01 04:00:00,1,0,0,1,9.84,75,0.0,1,Saturday,1,1,2011,4
2011-01-01 05:00:00,1,0,0,2,9.84,75,6.0032,1,Saturday,1,1,2011,5
2011-01-01 06:00:00,1,0,0,1,9.02,80,0.0,2,Saturday,1,1,2011,6
2011-01-01 07:00:00,1,0,0,1,8.2,86,0.0,3,Saturday,1,1,2011,7
2011-01-01 08:00:00,1,0,0,1,9.84,75,0.0,8,Saturday,1,1,2011,8
2011-01-01 09:00:00,1,0,0,1,13.12,76,0.0,14,Saturday,1,1,2011,9
2011-01-01 10:00:00,1,0,0,1,15.58,76,16.9979,36,Saturday,1,1,2011,10
2011-01-01 11:00:00,1,0,0,1,14.76,81,19.0012,56,Saturday,1,1,2011,11
2011-01-01 12:00:00,1,0,0,1,17.22,77,19.0012,84,Saturday,1,1,2011,12
2011-01-01 13:00:00,1,0,0,2,18.86,72,19.9995,94,Saturday,1,1,2011,13
2011-01-01 14:00:00,1,0,0,2,18.86,72,19.0012,106,Saturday,1,1,2011,14
2011-01-01 15:00:00,1,0,0,2,18.04,77,19.9995,110,Saturday,1,1,2011,15
2011-01-01 16:00:00,1,0,0,2,17.22,82,19.9995,93,Saturday,1,1,2011,16
2011-01-01 17:00:00,1,0,0,2,18.04,82,19.0012,67,Saturday,1,1,2011,17
2011-01-01 18:00:00,1,0,0,3,17.22,88,16.9979,35,Saturday,1,1,2011,18
2011-01-01 19:00:00,1,0,0,3,17.22,88,16.9979,37,Saturday,1,1,2011,19
2011-01-01 20:00:00,1,0,0,2,16.4,87,16.9979,36,Saturday,1,1,2011,20
2011-01-01 21:00:00,1,0,0,2,16.4,87,12.998,34,Saturday,1,1,2011,21
2011-01-01 22:00:00,1,0,0,2,16.4,94,15.0013,28,Saturday,1,1,2011,22
2011-01-01 23:00:00,1,0,0,2,18.86,88,19.9995,39,Saturday,1,1,2011,23
2011-01-02 00:00:00,1,0,0,2,18.86,88,19.9995,17,Sunday,1,2,2011,0
2011-01-02 01:00:00,1,0,0,2,18.04,94,16.9979,17,Sunday,1,2,2011,1
2011-01-02 02:00:00,1,0,0,2,17.22,100,19.0012,9,Sunday,1,2,2011,2
2011-01-02 03:00:00,1,0,0,2,18.86,94,12.998,6,Sunday,1,2,2011,3
2011-01-02 04:00:00,1,0,0,2,18.86,94,12.998,3,Sunday,1,2,2011,4
2011-01-02 06:00:00,1,0,0,3,17.22,77,19.9995,2,Sunday,1,2,2011,6
2011-01-02 07:00:00,1,0,0,2,16.4,76,12.998,1,Sunday,1,2,2011,7
2011-01-02 08:00:00,1,0,0,3,16.4,71,15.0013,8,Sunday,1,2,2011,8
2011-01-02 09:00:00,1,0,0,2,15.58,76,15.0013,20,Sunday,1,2,2011,9
2011-01-02 10:00:00,1,0,0,2,14.76,81,15.0013,53,Sunday,1,2,2011,10
2011-01-02 11:00:00,1,0,0,2,14.76,71,16.9979,70,Sunday,1,2,2011,11
2011-01-02 12:00:00,1,0,0,2,14.76,66,19.9995,93,Sunday,1,2,2011,12
2011-01-02 13:00:00,1,0,0,2,14.76,66,8.9981,75,Sunday,1,2,2011,13
2011-01-02 14:00:00,1,0,0,3,14.76,76,12.998,59,Sunday,1,2,2011,14
2011-01-02 15:00:00,1,0,0,3,13.94,81,11.0014,74,Sunday,1,2,2011,15
2011-01-02 16:00:00,1,0,0,3,13.94,71,11.0014,76,Sunday,1,2,2011,16
2011-01-02 17:00:00,1,0,0,1,13.94,57,12.998,65,Sunday,1,2,2011,17
2011-01-02 18:00:00,1,0,0,2,14.76,46,22.0028,53,Sunday,1,2,2011,18
2011-01-02 19:00:00,1,0,0,1,13.12,42,30.0026,30,Sunday,1,2,2011,19
2011-01-02 20:00:00,1,0,0,1,12.3,39,23.9994,22,Sunday,1,2,2011,20
2011-01-02 21:00:00,1,0,0,1,10.66,44,22.0028,31,Sunday,1,2,2011,21
2011-01-02 22:00:00,1,0,0,1,9.84,44,19.9995,9,Sunday,1,2,2011,22
2011-01-02 23:00:00,1,0,0,1,9.02,47,11.0014,8,Sunday,1,2,2011,23
2011-01-03 00:00:00,1,0,1,1,9.02,44,23.9994,5,Monday,1,3,2011,0
2011-01-03 01:00:00,1,0,1,1,8.2,44,27.9993,2,Monday,1,3,2011,1
2011-01-03 04:00:00,1,0,1,1,6.56,47,26.0027,1,Monday,1,3,2011,4
2011-01-03 05:00:00,1,0,1,1,6.56,47,19.0012,3,Monday,1,3,2011,5
2011-01-03 06:00:00,1,0,1,1,5.74,50,26.0027,30,Monday,1,3,2011,6
2011-01-03 07:00:00,1,0,1,1,5.74,50,12.998,64,Monday,1,3,2011,7
2011-01-03 08:00:00,1,0,1,1,5.74,50,19.0012,154,Monday,1,3,2011,8
2011-01-03 09:00:00,1,0,1,1,6.56,43,26.0027,88,Monday,1,3,2011,9
2011-01-03 10:00:00,1,0,1,1,7.38,43,16.9979,44,Monday,1,3,2011,10
2011-01-03 11:00:00,1,0,1,1,8.2,40,22.0028,51,Monday,1,3,2011,11
2011-01-03 12:00:00,1,0,1,1,9.02,35,19.9995,61,Monday,1,3,2011,12
2011-01-03 13:00:00,1,0,1,1,9.84,35,19.0012,61,Monday,1,3,2011,13
2011-01-03 14:00:00,1,0,1,1,10.66,30,19.0012,77,Monday,1,3,2011,14
2011-01-03 15:00:00,1,0,1,1,10.66,30,16.9979,72,Monday,1,3,2011,15
2011-01-03 16:00:00,1,0,1,1,10.66,30,16.9979,76,Monday,1,3,2011,16
2011-01-03 17:00:00,1,0,1,1,9.84,30,15.0013,157,Monday,1,3,2011,17
2011-01-03 18:00:00,1,0,1,1,9.84,32,7.0015,157,Monday,1,3,2011,18
2011-01-03 19:00:00,1,0,1,1,8.2,47,0.0,110,Monday,1,3,2011,19
2011-01-03 20:00:00,1,0,1,1,8.2,47,7.0015,52,Monday,1,3,2011,20
2011-01-03 21:00:00,1,0,1,1,7.38,64,8.9981,52,Monday,1,3,2011,21
2011-01-03 22:00:00,1,0,1,1,5.74,69,8.9981,20,Monday,1,3,2011,22
2011-01-03 23:00:00,1,0,1,1,7.38,55,7.0015,12,Monday,1,3,2011,23
2011-01-04 00:00:00,1,0,1,1,6.56,55,7.0015,5,Tuesday,1,4,2011,0
2011-01-04 01:00:00,1,0,1,1,6.56,59,7.0015,2,Tuesday,1,4,2011,1
2011-01-04 02:00:00,1,0,1,1,5.74,63,8.9981,1,Tuesday,1,4,2011,2
2011-01-04 04:00:00,1,0,1,1,5.74,63,6.0032,2,Tuesday,1,4,2011,4
2011-01-04 05:00:00,1,0,1,1,4.92,68,7.0015,4,Tuesday,1,4,2011,5
2011-01-04 06:00:00,1,0,1,1,4.92,74,7.0015,36,Tuesday,1,4,2011,6
2011-01-04 07:00:00,1,0,1,1,4.92,74,8.9981,94,Tuesday,1,4,2011,7
2011-01-04 08:00:00,1,0,1,1,5.74,69,11.0014,179,Tuesday,1,4,2011,8
2011-01-04 09:00:00,1,0,1,1,6.56,64,15.0013,100,Tuesday,1,4,2011,9
2011-01-04 10:00:00,1,0,1,2,6.56,69,22.0028,42,Tuesday,1,4,2011,10
2011-01-04 11:00:00,1,0,1,1,9.02,51,19.9995,57,Tuesday,1,4,2011,11
2011-01-04 12:00:00,1,0,1,1,9.02,51,11.0014,78,Tuesday,1,4,2011,12
2011-01-04 13:00:00,1,0,1,1,9.84,56,12.998,97,Tuesday,1,4,2011,13
2011-01-04 14:00:00,1,0,1,1,10.66,52,15.0013,63,Tuesday,1,4,2011,14
2011-01-04 15:00:00,1,0,1,1,11.48,52,16.9979,65,Tuesday,1,4,2011,15
2011-01-04 16:00:00,1,0,1,1,12.3,49,16.9979,83,Tuesday,1,4,2011,16
2011-01-04 17:00:00,1,0,1,1,11.48,48,15.0013,212,Tuesday,1,4,2011,17
2011-01-04 18:00:00,1,0,1,1,10.66,48,12.998,182,Tuesday,1,4,2011,18
2011-01-04 19:00:00,1,0,1,1,9.84,48,7.0015,112,Tuesday,1,4,2011,19
2011-01-04 20:00:00,1,0,1,1,9.84,48,7.0015,54,Tuesday,1,4,2011,20
2011-01-04 21:00:00,1,0,1,1,9.02,64,0.0,48,Tuesday,1,4,2011,21
2011-01-04 22:00:00,1,0,1,1,9.02,64,6.0032,35,Tuesday,1,4,2011,22
2011-01-04 23:00:00,1,0,1,1,8.2,69,6.0032,11,Tuesday,1,4,2011,23
2011-01-05 00:00:00,1,0,1,1,8.2,64,0.0,6,Wednesday,1,5,2011,0
2011-01-05 01:00:00,1,0,1,1,6.56,74,6.0032,6,Wednesday,1,5,2011,1
2011-01-05 02:00:00,1,0,1,1,6.56,74,6.0032,2,Wednesday,1,5,2011,2
2011-01-05 04:00:00,1,0,1,1,9.84,48,15.0013,2,Wednesday,1,5,2011,4
2011-01-05 05:00:00,1,0,1,1,9.02,47,11.0014,3,Wednesday,1,5,2011,5
